Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
BERT,CONSULTANT,6,10,0.2,0.28371255449703187,20.0
BERT,CONSULTANT,7,5,0.2,0.13120507751234178,20.0
BERT,CONSULTANT,7,10,0.1,0.08514311764162098,10.0
BERT,CONSULTANT,8,5,0.0,0.0,0.0
BERT,CONSULTANT,8,10,0.0,0.0,0.0
BERT,CONSULTANT,9,5,0.2,0.21398626473452756,20.0
BERT,CONSULTANT,9,10,0.1,0.13886244387355454,10.0
BERT,TEACHER,1,5,1.0,1.0,100.0
BERT,TEACHER,1,10,1.0,1.0,100.0
BERT,TEACHER,2,5,1.0,1.0,100.0
BERT,TEACHER,2,10,0.7,0.793584067764911,70.0
BERT,TEACHER,3,5,0.4,0.3156484524795145,40.0
BERT,TEACHER,3,10,0.2,0.20483424751859086,20.0
BERT,ADVOCATE,1,5,0.0,0.0,0.0
BERT,ADVOCATE,1,10,0.0,0.0,0.0
BERT,ADVOCATE,2,5,0.0,0.0,0.0
BERT,ADVOCATE,2,10,0.0,0.0,0.0
BERT,ADVOCATE,3,5,0.0,0.0,0.0
BERT,ADVOCATE,3,10,0.0,0.0,0.0
BERT,ADVOCATE,4,5,0.2,0.13120507751234178,20.0
BERT,ADVOCATE,4,10,0.1,0.08514311764162098,10.0
BERT,ADVOCATE,5,5,0.2,0.14606834984270645,20.0
BERT,ADVOCATE,5,10,0.2,0.1584091525685025,20.0
BERT,ADVOCATE,6,5,0.0,0.0,0.0
BERT,ADVOCATE,6,10,0.0,0.0,0.0
BERT,ADVOCATE,7,5,0.0,0.0,0.0
BERT,ADVOCATE,7,10,0.0,0.0,0.0
BERT,ADVOCATE,8,5,0.0,0.0,0.0
BERT,ADVOCATE,8,10,0.0,0.0,0.0
BERT,ADVOCATE,9,5,0.0,0.0,0.0
BERT,ADVOCATE,9,10,0.1,0.07336392209936005,10.0
BERT,ADVOCATE,10,5,0.0,0.0,0.0
BERT,ADVOCATE,10,10,0.0,0.0,0.0
BERT,ARTS,1,5,0.0,0.0,0.0
BERT,ARTS,1,10,0.1,0.07336392209936005,10.0
BERT,ARTS,2,5,0.2,0.13120507751234178,20.0
