Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
SBERT-FT,HR,8,5,1.0,1.0,100.0
SBERT-FT,HR,8,10,1.0,1.0,100.0
SBERT-FT,HR,9,5,1.0,1.0,100.0
SBERT-FT,HR,9,10,1.0,1.0,100.0
SBERT-FT,INFORMATION-TECHNOLOGY,1,5,0.6,0.6548086577531307,60.0
SBERT-FT,INFORMATION-TECHNOLOGY,1,10,0.8,0.7759944384848244,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,2,5,0.8,0.830419897363192,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,2,10,0.8,0.8263333286520083,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,3,5,0.8,0.830419897363192,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,3,10,0.9,0.8899541168509599,90.0
SBERT-FT,INFORMATION-TECHNOLOGY,4,5,0.8,0.6608397947263839,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,4,10,0.9,0.7799082337019199,90.0
SBERT-FT,INFORMATION-TECHNOLOGY,5,5,0.8,0.7860137352654724,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,5,10,0.9,0.8611375561264454,90.0
SBERT-FT,INFORMATION-TECHNOLOGY,6,5,0.8,0.8687949224876582,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,6,10,0.8,0.8364586133797037,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,7,5,1.0,1.0,100.0
SBERT-FT,INFORMATION-TECHNOLOGY,7,10,1.0,1.0,100.0
SBERT-FT,INFORMATION-TECHNOLOGY,8,5,0.8,0.8539316501572937,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,8,10,0.8,0.8318477135310893,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,9,5,0.8,0.8539316501572937,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,9,10,0.8,0.8389574121760602,80.0
SBERT-FT,INFORMATION-TECHNOLOGY,10,5,1.0,1.0,100.0
SBERT-FT,INFORMATION-TECHNOLOGY,10,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,1,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,1,10,0.9,0.933745776545611,90.0
SBERT-FT,DESIGNER,2,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,2,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,3,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,3,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,4,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,4,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,5,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,5,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,6,5,0.8,0.8687949224876582,80.0
SBERT-FT,DESIGNER,6,10,0.9,0.914856882358379,90.0
SBERT-FT,DESIGNER,7,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,7,10,1.0,1.0,100.0
SBERT-FT,DESIGNER,8,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,8,10,0.9,0.9266360779006401,90.0
SBERT-FT,DESIGNER,9,5,1.0,1.0,100.0
SBERT-FT,DESIGNER,9,10,1.0,1.0,100.0
SBERT-FT,SALES,1,5,1.0,1.0,100.0
SBERT-FT,SALES,1,10,1.0,1.0,100.0
SBERT-FT,SALES,2,5,1.0,1.0,100.0
SBERT-FT,SALES,2,10,1.0,1.0,100.0
SBERT-FT,SALES,3,5,1.0,1.0,100.0
SBERT-FT,SALES,3,10,1.0,1.0,100.0
SBERT-FT,SALES,4,5,1.0,1.0,100.0
SBERT-FT,SALES,4,10,1.0,1.0,100.0
SBERT-FT,SALES,5,5,1.0,1.0,100.0
SBERT-FT,SALES,5,10,1.0,1.0,100.0
SBERT-FT,SALES,6,5,0.6,0.6548086577531307,60.0
SBERT-FT,SALES,6,10,0.7,0.7065632165480471,70.0
SBERT-FT,SALES,7,5,1.0,1.0,100.0
SBERT-FT,SALES,7,10,1.0,1.0,100.0
SBERT-FT,SALES,8,5,1.0,1.0,100.0
SBERT-FT,SALES,8,10,1.0,1.0,100.0
SBERT-FT,SALES,9,5,1.0,1.0,100.0
SBERT-FT,SALES,9,10,1.0,1.0,100.0
SBERT-FT,FINANCE,1,5,1.0,1.0,100.0
SBERT-FT,FINANCE,1,10,0.9,0.9266360779006401,90.0
SBERT-FT,FINANCE,2,5,1.0,1.0,100.0
SBERT-FT,FINANCE,2,10,1.0,1.0,100.0
SBERT-FT,FINANCE,3,5,1.0,1.0,100.0
SBERT-FT,FINANCE,3,10,1.0,1.0,100.0
SBERT-FT,FINANCE,4,5,0.8,0.8539316501572937,80.0
SBERT-FT,FINANCE,4,10,0.9,0.9052116356304493,90.0
SBERT-FT,FINANCE,5,5,1.0,1.0,100.0
SBERT-FT,FINANCE,5,10,1.0,1.0,100.0
SBERT-FT,FINANCE,6,5,1.0,1.0,100.0
SBERT-FT,FINANCE,6,10,1.0,1.0,100.0
SBERT-FT,FINANCE,7,5,1.0,1.0,100.0
SBERT-FT,FINANCE,7,10,1.0,1.0,100.0
SBERT-FT,FINANCE,8,5,1.0,1.0,100.0
SBERT-FT,FINANCE,8,10,1.0,1.0,100.0
SBERT-FT,FINANCE,9,5,1.0,1.0,100.0
SBERT-FT,FINANCE,9,10,1.0,1.0,100.0
SBERT-FT,FINANCE,10,5,1.0,1.0,100.0
SBERT-FT,FINANCE,10,10,1.0,1.0,100.0
SBERT-FT,BANKING,1,5,1.0,1.0,100.0
SBERT-FT,BANKING,1,10,1.0,1.0,100.0
SBERT-FT,BANKING,2,5,1.0,1.0,100.0
SBERT-FT,BANKING,2,10,1.0,1.0,100.0
SBERT-FT,BANKING,3,5,1.0,1.0,100.0
SBERT-FT,BANKING,3,10,1.0,1.0,100.0
SBERT-FT,HEALTHCARE,1,5,0.8,0.7860137352654724,80.0
SBERT-FT,HEALTHCARE,1,10,0.8,0.7948833326720564,80.0
SBERT-FT,HEALTHCARE,2,5,1.0,1.0,100.0
SBERT-FT,HEALTHCARE,2,10,0.9,0.9216017310213247,90.0
SBERT-FT,HEALTHCARE,3,5,1.0,1.0,100.0
SBERT-FT,HEALTHCARE,3,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,1,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,1,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,2,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,2,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,3,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,3,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,4,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,4,10,0.9,0.9266360779006401,90.0
SBERT-FT,ENGINEERING,5,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,5,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,6,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,6,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,7,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,7,10,0.9,0.9305687780632227,90.0
SBERT-FT,ENGINEERING,8,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,8,10,1.0,1.0,100.0
SBERT-FT,ENGINEERING,9,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,9,10,0.9,0.9363792118010483,90.0
SBERT-FT,ENGINEERING,10,5,1.0,1.0,100.0
SBERT-FT,ENGINEERING,10,10,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,1,5,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,1,10,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,2,5,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,2,10,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,3,5,1.0,1.0,100.0
SBERT-FT,ACCOUNTANT,3,10,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,1,5,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,1,10,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,2,5,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,2,10,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,3,5,0.4,0.3156484524795145,40.0
SBERT-FT,DIGITAL-MEDIA,3,10,0.5,0.42021722679557794,50.0
SBERT-FT,DIGITAL-MEDIA,4,5,0.2,0.16958010263680806,20.0
SBERT-FT,DIGITAL-MEDIA,4,10,0.6,0.46111430781719354,60.0
SBERT-FT,DIGITAL-MEDIA,5,5,0.4,0.30078518014914984,40.0
SBERT-FT,DIGITAL-MEDIA,5,10,0.5,0.4066392799050653,50.0
SBERT-FT,DIGITAL-MEDIA,6,5,0.4,0.3156484524795145,40.0
SBERT-FT,DIGITAL-MEDIA,6,10,0.4,0.33788625765431984,40.0
SBERT-FT,DIGITAL-MEDIA,7,5,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,7,10,1.0,1.0,100.0
SBERT-FT,DIGITAL-MEDIA,8,5,0.2,0.13120507751234178,20.0
SBERT-FT,DIGITAL-MEDIA,8,10,0.4,0.29155904987671,40.0
SBERT-FT,DIGITAL-MEDIA,9,5,0.8,0.830419897363192,80.0
SBERT-FT,DIGITAL-MEDIA,9,10,0.6,0.6745711375739728,60.0
SBERT-FT,CONSULTANT,1,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,1,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,2,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,2,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,3,5,0.8,0.8539316501572937,80.0
SBERT-FT,CONSULTANT,3,10,0.9,0.9052116356304493,90.0
SBERT-FT,CONSULTANT,4,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,4,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,5,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,5,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,6,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,6,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,7,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,7,10,1.0,1.0,100.0
SBERT-FT,CONSULTANT,8,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,8,10,0.9,0.9216017310213247,90.0
SBERT-FT,CONSULTANT,9,5,1.0,1.0,100.0
SBERT-FT,CONSULTANT,9,10,1.0,1.0,100.0
SBERT-FT,TEACHER,1,5,1.0,1.0,100.0
SBERT-FT,TEACHER,1,10,1.0,1.0,100.0
SBERT-FT,TEACHER,2,5,1.0,1.0,100.0
SBERT-FT,TEACHER,2,10,1.0,1.0,100.0
SBERT-FT,TEACHER,3,5,1.0,1.0,100.0
SBERT-FT,TEACHER,3,10,1.0,1.0,100.0
SBERT-FT,ADVOCATE,1,5,1.0,1.0,100.0
SBERT-FT,ADVOCATE,1,10,1.0,1.0,100.0
SBERT-FT,ADVOCATE,2,5,0.8,0.8539316501572937,80.0
SBERT-FT,ADVOCATE,2,10,0.8,0.8415908474314976,80.0
SBERT-FT,ADVOCATE,3,5,0.8,0.830419897363192,80.0
SBERT-FT,ADVOCATE,3,10,0.8,0.8205228949141826,80.0
SBERT-FT,ADVOCATE,4,5,0.6,0.6992148198508501,60.0
SBERT-FT,ADVOCATE,4,10,0.8,0.804810999209339,80.0
SBERT-FT,ADVOCATE,5,5,0.6,0.6548086577531307,60.0
SBERT-FT,ADVOCATE,5,10,0.8,0.7759944384848244,80.0
SBERT-FT,ADVOCATE,6,5,1.0,1.0,100.0
SBERT-FT,ADVOCATE,6,10,0.9,0.9305687780632227,90.0
SBERT-FT,ADVOCATE,7,5,0.6,0.6548086577531307,60.0
SBERT-FT,ADVOCATE,7,10,0.8,0.7759944384848244,80.0
SBERT-FT,ADVOCATE,8,5,1.0,1.0,100.0
SBERT-FT,ADVOCATE,8,10,0.8,0.8643145546088337,80.0
SBERT-FT,ADVOCATE,9,5,0.8,0.8687949224876582,80.0
SBERT-FT,ADVOCATE,9,10,0.8,0.8364586133797037,80.0
SBERT-FT,ADVOCATE,10,5,1.0,1.0,100.0
SBERT-FT,ADVOCATE,10,10,0.9,0.933745776545611,90.0
SBERT-FT,ARTS,1,5,1.0,1.0,100.0
SBERT-FT,ARTS,1,10,1.0,1.0,100.0
SBERT-FT,ARTS,2,5,1.0,1.0,100.0
SBERT-FT,ARTS,2,10,1.0,1.0,100.0
SBERT-FT,ARTS,3,5,1.0,1.0,100.0
SBERT-FT,ARTS,3,10,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,1,5,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,1,10,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,2,5,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,2,10,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,3,5,1.0,1.0,100.0
SBERT-FT,BUSINESS-DEVELOPMENT,3,10,1.0,1.0,100.0
SBERT-FT,AGRICULTURE,1,5,0.6,0.5147714448836774,60.0
SBERT-FT,AGRICULTURE,1,10,0.6,0.5404673768993046,60.0
SBERT-FT,AGRICULTURE,2,5,0.4,0.30078518014914984,40.0
SBERT-FT,AGRICULTURE,2,10,0.7,0.5462574254588145,70.0
SBERT-FT,AGRICULTURE,3,5,0.2,0.16958010263680806,20.0
SBERT-FT,AGRICULTURE,3,10,0.5,0.3877503857178334,50.0
SBERT-FT,AGRICULTURE,4,5,0.2,0.13120507751234178,20.0
SBERT-FT,AGRICULTURE,4,10,0.5,0.3725907541108227,50.0
SBERT-FT,AGRICULTURE,5,5,0.4,0.3156484524795145,40.0
SBERT-FT,AGRICULTURE,5,10,0.6,0.48647145024996696,60.0
SBERT-FT,AGRICULTURE,6,5,0.6,0.639945385422766,60.0
SBERT-FT,AGRICULTURE,6,10,0.6,0.6267310462031457,60.0
SBERT-FT,AGRICULTURE,7,5,0.4,0.30078518014914984,40.0
SBERT-FT,AGRICULTURE,7,10,0.5,0.4163824138054737,50.0
SBERT-FT,AGRICULTURE,8,5,1.0,1.0,100.0
SBERT-FT,AGRICULTURE,8,10,0.8,0.8572048559638628,80.0
SBERT-FT,APPAREL,1,5,0.2,0.3391602052736161,20.0
SBERT-FT,APPAREL,1,10,0.2,0.2984900352767555,20.0
SBERT-FT,APPAREL,2,5,0.2,0.21398626473452756,20.0
SBERT-FT,APPAREL,2,10,0.3,0.2835149363066189,30.0
SBERT-FT,APPAREL,3,5,0.0,0.0,0.0
SBERT-FT,APPAREL,3,10,0.0,0.0,0.0
SBERT-FT,APPAREL,4,5,0.0,0.0,0.0
SBERT-FT,APPAREL,4,10,0.1,0.06943122193677727,10.0
SBERT-FT,APPAREL,5,5,0.4,0.30078518014914984,40.0
SBERT-FT,APPAREL,5,10,0.4,0.34695119186869644,40.0
SBERT-FT,APPAREL,6,5,0.0,0.0,0.0
SBERT-FT,APPAREL,6,10,0.1,0.06943122193677727,10.0
SBERT-FT,APPAREL,7,5,0.8,0.8687949224876582,80.0
SBERT-FT,APPAREL,7,10,0.8,0.8364586133797037,80.0
SBERT-FT,APPAREL,8,5,1.0,1.0,100.0
SBERT-FT,APPAREL,8,10,0.9,0.9216017310213247,90.0
SBERT-FT,CONSTRUCTION,1,5,0.8,0.6608397947263839,80.0
SBERT-FT,CONSTRUCTION,1,10,0.9,0.7799082337019199,90.0
SBERT-FT,CONSTRUCTION,2,5,1.0,1.0,100.0
SBERT-FT,CONSTRUCTION,2,10,1.0,1.0,100.0
SBERT-FT,CONSTRUCTION,3,5,0.8,0.6608397947263839,80.0
SBERT-FT,CONSTRUCTION,3,10,0.9,0.7799082337019199,90.0
SBERT-FT,PUBLIC-RELATIONS,1,5,0.4,0.36005461457723403,40.0
SBERT-FT,PUBLIC-RELATIONS,1,10,0.2,0.23365080824310533,20.0
SBERT-FT,PUBLIC-RELATIONS,2,5,0.2,0.13120507751234178,20.0
SBERT-FT,PUBLIC-RELATIONS,2,10,0.3,0.22793826167775827,30.0
SBERT-FT,PUBLIC-RELATIONS,3,5,0.4,0.34519134224686937,40.0
SBERT-FT,PUBLIC-RELATIONS,3,10,0.4,0.3596910069063418,40.0
SBERT-FT,PUBLIC-RELATIONS,4,5,0.8,0.6608397947263839,80.0
SBERT-FT,PUBLIC-RELATIONS,4,10,0.6,0.5734923014668308,60.0
SBERT-FT,PUBLIC-RELATIONS,5,5,0.8,0.7860137352654724,80.0
SBERT-FT,PUBLIC-RELATIONS,5,10,0.6,0.6496872770120411,60.0
SBERT-FT,PUBLIC-RELATIONS,6,5,0.4,0.4703652827859579,40.0
SBERT-FT,PUBLIC-RELATIONS,6,10,0.5,0.5232512984721256,50.0
SBERT-FT,PUBLIC-RELATIONS,7,5,0.2,0.21398626473452756,20.0
SBERT-FT,PUBLIC-RELATIONS,7,10,0.3,0.2687374555268953,30.0
SBERT-FT,PUBLIC-RELATIONS,8,5,0.6,0.4468535299918563,60.0
SBERT-FT,PUBLIC-RELATIONS,8,10,0.7,0.5716145678915879,70.0
SBERT-FT,PUBLIC-RELATIONS,9,5,0.2,0.16958010263680806,20.0
SBERT-FT,PUBLIC-RELATIONS,9,10,0.4,0.32542886242602714,40.0
SBERT-FT,BPO,1,5,0.4,0.48522855511632257,40.0
SBERT-FT,BPO,1,10,0.2,0.31488013066763093,20.0
SBERT-FT,BPO,2,5,0.6,0.7227265726449519,60.0
SBERT-FT,BPO,2,10,0.4,0.5352543167750639,40.0
SBERT-FT,BPO,3,5,0.6,0.5296347172140421,60.0
SBERT-FT,BPO,3,10,0.4,0.4073174795910971,40.0
SBERT-FT,BPO,4,5,0.4,0.5531464700081437,40.0
SBERT-FT,BPO,4,10,0.3,0.42838543210841196,30.0
SBERT-FT,BPO,5,5,0.8,0.8539316501572937,80.0
SBERT-FT,BPO,5,10,0.5,0.627507133061656,50.0
SBERT-FT,BPO,6,5,0.6,0.7227265726449519,60.0
SBERT-FT,BPO,6,10,0.6,0.6901935063354876,60.0
