Model,JD_Key,Category,K,P@K,R@K,NDCG@K
SBERT,ENGINEERING_JD5,ENGINEERING,10,0.8,0.06779661016949153,0.841492960259019
SBERT,ENGINEERING_JD6,ENGINEERING,5,1.0,0.0423728813559322,1.0
SBERT,ENGINEERING_JD6,ENGINEERING,10,0.9,0.07627118644067797,0.9305687780632227
SBERT,ENGINEERING_JD7,ENGINEERING,5,0.0,0.0,0.0
SBERT,ENGINEERING_JD7,ENGINEERING,10,0.2,0.01694915254237288,0.13698471029831175
SBERT,ENGINEERING_JD8,ENGINEERING,5,1.0,0.0423728813559322,1.0
SBERT,ENGINEERING_JD8,ENGINEERING,10,0.7,0.059322033898305086,0.7819835854675755
SBERT,ENGINEERING_JD9,ENGINEERING,5,1.0,0.0423728813559322,1.0
SBERT,ENGINEERING_JD9,ENGINEERING,10,0.8,0.06779661016949153,0.8630152897016883
SBERT,ENGINEERING_JD10,ENGINEERING,5,1.0,0.0423728813559322,1.0
SBERT,ENGINEERING_JD10,ENGINEERING,10,1.0,0.0847457627118644,1.0
SBERT,ACCOUNTANT_JD1,ACCOUNTANT,5,1.0,0.0423728813559322,1.0
SBERT,ACCOUNTANT_JD1,ACCOUNTANT,10,0.9,0.07627118644067797,0.9305687780632227
SBERT,ACCOUNTANT_JD2,ACCOUNTANT,5,0.8,0.03389830508474576,0.8539316501572937
SBERT,ACCOUNTANT_JD2,ACCOUNTANT,10,0.7,0.059322033898305086,0.7655934900767002
SBERT,ACCOUNTANT_JD3,ACCOUNTANT,5,0.4,0.01694915254237288,0.30078518014914984
SBERT,ACCOUNTANT_JD3,ACCOUNTANT,10,0.5,0.0423728813559322,0.39842793454336184
SBERT,DIGITAL-MEDIA_JD1,DIGITAL-MEDIA,5,0.4,0.020833333333333332,0.5531464700081437
SBERT,DIGITAL-MEDIA_JD1,DIGITAL-MEDIA,10,0.6,0.0625,0.6437684113853992
SBERT,DIGITAL-MEDIA_JD2,DIGITAL-MEDIA,5,1.0,0.052083333333333336,1.0
SBERT,DIGITAL-MEDIA_JD2,DIGITAL-MEDIA,10,0.5,0.052083333333333336,0.6489315753318465
SBERT,DIGITAL-MEDIA_JD3,DIGITAL-MEDIA,5,0.8,0.041666666666666664,0.830419897363192
